Model,Hull Type,Rigging Type,LOA,LWL,S.A. (reported),Beam,Displacement,Ballast,Max Draft,Construction,Ballast Type,First Built,Last Built,# Built,Builder,Designer,Min Draft,LOD,Beam WL
Junker 26,Fin w/spade rudder,Fractional Sloop,26.25 ft / 8.00 m,21.65 ft / 6.60 m,290.00 ft² / 26.94 m²,8.86 ft / 2.70 m,"6,614.00 lb / 3,000 kg","2,756.00 lb / 1,250 kg",4.59 ft / 1.40 m,FG,Iron,1977,NA,NA,Holstebro Plastværk A/S; STB,Arne Borghegn,NA,NA,NA
Lynæs 29,Long keel w/trans. hung rudder,Masthead Sloop,29.86 ft / 9.10 m,25.10 ft / 7.65 m,430.00 ft² / 39.95 m²,9.51 ft / 2.90 m,"11,023.00 lb / 5,000 kg","4,850.00 lb / 2,200 kg",5.12 ft / 1.56 m,FG,Lead,1973,NA,NA,AB Råå Båtvarv,B. Malta-Müller,NA,NA,NA
Drabant 22,Fin with rudder on skeg,Masthead Sloop,21.59 ft / 6.58 m,19.65 ft / 5.99 m,200.00 ft² / 18.58 m²,7.07 ft / 2.15 m,"2,183.00 lb / 990 kg","1,213.00 lb / 550 kg",3.61 ft / 1.10 m,FG,Iron,1968,1972,225,Fåborg Yachtværft (DEN),Gert Gerlach,NA,NA,NA
Drabant 24,Fin with rudder on skeg,Fractional Sloop,24.51 ft / 7.47 m,22.15 ft / 6.75 m,259.00 ft² / 24.06 m²,8.30 ft / 2.53 m,"4,674.00 lb / 2,120 kg","2,094.00 lb / 950 kg",5.02 ft / 1.53 m,FG,Iron,1968,1978,165,A/S Nillings Bådeværft (DEN),Gert Gerlach,NA,NA,NA
Drabant 27,Fin with rudder on skeg,Masthead Sloop,27.16 ft / 8.28 m,21.32 ft / 6.50 m,334.00 ft² / 31.03 m²,9.22 ft / 2.81 m,"6,525.00 lb / 2,960 kg","2,535.00 lb / 1,150 kg",5.08 ft / 1.55 m,FG,NA,1979,1986,95,A/S Nillings Bådeværft (DEN),Gert Gerlach,NA,NA,NA
Drabant 38,Fin w/spade rudder,Fractional Sloop,37.56 ft / 11.45 m,30.51 ft / 9.30 m,620.00 ft² / 57.60 m²,9.94 ft / 3.03 m,"10,582.00 lb / 4,800 kg","3,968.00 lb / 1,800 kg",6.30 ft / 1.92 m,FG,Iron,1983,NA,55,G. G. Bådeværft (DEN),Gert Gerlach,NA,NA,NA
Granada 23,Fin w/spade rudder,Fractional Sloop,23.03 ft / 7.02 m,19.68 ft / 6.00 m,269.00 ft² / 24.99 m²,7.55 ft / 2.30 m,"3,748.00 lb / 1,700 kg","1,830.00 lb / 830 kg",4.76 ft / 1.45 m,FG,Iron,1976,1981,NA,Gesten Glasfiber Bådeværft (DEN),Elvstrøm & Kjærulff,NA,NA,NA
Granada 24,Fin with rudder on skeg,Masthead Sloop,23.43 ft / 7.14 m,21.26 ft / 6.48 m,246.00 ft² / 22.85 m²,8.27 ft / 2.52 m,"3,968.00 lb / 1,800 kg","1,874.00 lb / 850 kg",4.10 ft / 1.25 m,FG,Iron,1974,1977,200,Granada Yachts A/S (DEN),Jørn Hansen,NA,NA,NA
Granada 27,Fin with rudder on skeg,Masthead Sloop,27.16 ft / 8.28 m,21.00 ft / 6.40 m,325.00 ft² / 30.19 m²,9.12 ft / 2.78 m,"5,997.00 lb / 2,720 kg","2,645.00 lb / 1,200 kg",5.74 ft / 1.75 m,FG,Iron,1977,1981,400,Gesten Glasfiber Bådeværft (DEN),Elvstrøm & Kjærulff,NA,NA,NA
Granada 31,Fin w/spade rudder,Masthead Sloop,30.81 ft / 9.39 m,24.24 ft / 7.39 m,430.00 ft² / 39.95 m²,10.00 ft / 3.05 m,"7,938.00 lb / 3,601 kg","3,628.00 lb / 1,646 kg",5.74 ft / 1.75 m,FG,Iron,1977,1982,750,Gesten Glasfiber Bådeværft (DEN),Elvstrøm & Kjærulff,NA,NA,NA
Seaforth 34,Fin with rudder on skeg,Masthead Sloop,33.75 ft / 10.29 m,28.00 ft / 8.53 m,521.00 ft² / 48.40 m²,10.00 ft / 3.05 m,"11,800.00 lb / 5,352 kg","5,170.00 lb / 2,345 kg",5.25 ft / 1.60 m,FG,NA,1977,NA,NA,NA,R. van der Staad,NA,NA,NA
Granada 28,Fin w/spade rudder,Fractional Sloop,27.23 ft / 8.30 m,21.16 ft / 6.45 m,310.00 ft² / 28.80 m²,9.19 ft / 2.80 m,"5,511.00 lb / 2,500 kg","3,086.00 lb / 1,400 kg",5.25 ft / 1.60 m,FG,NA,1981,NA,NA,Gesten Glasfiber Bådeværft (DEN),Elvstrøm & Kjærulff,NA,NA,NA
Granada 375,Fin w/spade rudder,Masthead Sloop,37.40 ft / 11.40 m,30.41 ft / 9.27 m,861.00 ft² / 79.99 m²,11.91 ft / 3.63 m,"14,330.00 lb / 6,500 kg","5,511.00 lb / 2,500 kg",6.07 ft / 1.85 m,FG,NA,1978,NA,NA,Granada Yachts (DEN),Kristian Rode,NA,NA,NA
Corsair 28,Trimaran Dbrd.,Frac. Sloop (Rotating Spar),28.52 ft / 8.69 m,26.25 ft / 8.00 m,496.00 ft² / 46.08 m²,19.75 ft / 6.02 m,"2,690.00 lb / 1,220 kg",NA,4.92 ft / 1.50 m,FG,NA,2001,NA,NA,Corsair Marine (USA),Ian Farrier,1.17 ft / 0.36 m,NA,NA
F-9a,Trimaran Dbrd.,Fractional Sloop,30.83 ft / 9.40 m,30.00 ft / 9.14 m,NA,22.42 ft / 6.83 m,"3,500.00 lb / 1,588 kg",NA,5.50 ft / 1.68 m,FG or strip plank,NA,1991,NA,300,various,Ian Farrier,1.33 ft / 0.41 m,NA,NA
Tramp/Eagle,Trimaran Dbrd.,Fractional Sloop,19.50 ft / 5.94 m,18.00 ft / 5.49 m,209.00 ft² / 19.42 m²,14.75 ft / 4.50 m,"1,400.00 lb / 635 kg",NA,4.00 ft / 1.22 m,FG,NA,1980,NA,NA,Haines-Hunter (AUS) Pyramid Int. (USA),Ian Farrier,0.33 ft / 0.10 m,NA,NA
Grand Soleil 34 (Finot),Fin with rudder on skeg,Masthead Sloop,33.40 ft / 10.18 m,27.00 ft / 8.23 m,665.00 ft² / 61.78 m²,11.30 ft / 3.44 m,"9,900.00 lb / 4,491 kg","3,527.00 lb / 1,600 kg",5.90 ft / 1.80 m,FG,NA,1972,1983,300,Cantiere del Pardo (ITA),Group Finot,NA,NA,NA
Cascade 27,Fin w/spade rudder,Masthead Sloop,27.00 ft / 8.23 m,21.50 ft / 6.55 m,348.00 ft² / 32.33 m²,8.83 ft / 2.69 m,"6,400.00 lb / 2,903 kg","2,275.00 lb / 1,032 kg",4.50 ft / 1.37 m,FG/wood superstructure,Iron,1978,NA,NA,Yacht Constructors Inc./Cascade Yachts (USA),Robert A. Smith,NA,NA,NA
Cascade 42,Fin Keel w/bulb,Cutter,42.00 ft / 12.80 m,34.00 ft / 10.36 m,NA,11.92 ft / 3.63 m,"18,000.00 lb / 8,165 kg","6,180.00 lb / 2,803 kg",6.00 ft / 1.83 m,FG,NA,1964,NA,NA,Yacht Constructors Inc./Cascade Yachts (USA),Robert A. Smith,NA,NA,NA
Udell,Fin Keel,Fractional Sloop,36.25 ft / 11.05 m,27.25 ft / 8.31 m,235.00 ft² / 21.83 m²,6.42 ft / 1.96 m,"4,600.00 lb / 2,087 kg","2,400.00 lb / 1,089 kg",4.50 ft / 1.37 m,Wood,NA,1955,NA,12,Kungsörs Boatyard,Knud Reimers,NA,NA,NA
Vaurien,Centerboard Dinghy,Fractional Sloop,13.39 ft / 4.08 m,NA,81.00 ft² / 7.53 m²,4.49 ft / 1.37 m,187.00 lb / 85 kg,NA,3.20 ft / 0.98 m,FG or Plywood,NA,1951,NA,36000,NA,Jean Jacques Herbulot,0.40 ft / 0.12 m,NA,NA
Young Sun 35,Long Keel,Cutter,35.00 ft / 10.67 m,32.00 ft / 9.75 m,750.00 ft² / 69.68 m²,11.00 ft / 3.35 m,"19,200.00 lb / 8,709 kg","6,700.00 lb / 3,039 kg",5.50 ft / 1.68 m,FG,Iron,1980,NA,NA,Young Sun (TAIWAN),NA,NA,NA,NA
Young Sun 43,Long Keel,Cutter,42.67 ft / 13.01 m,35.33 ft / 10.77 m,"1,150.00 ft² / 106.84 m²",12.92 ft / 3.94 m,"35,000.00 lb / 15,876 kg","10,800.00 lb / 4,899 kg",6.33 ft / 1.93 m,FG,NA,1978,NA,NA,Young Sun (TAIWAN),Ron Amy,NA,NA,NA
Sunbeam 44,Fin w/spade rudder,Masthead Sloop,43.96 ft / 13.40 m,38.22 ft / 11.65 m,"1,125.00 ft² / 104.52 m²",13.06 ft / 3.98 m,"20,912.00 lb / 9,486 kg","8,379.00 lb / 3,801 kg",5.42 ft / 1.65 m,FG,NA,1992,NA,45,Schoechl Sportbootswerft (AUS),J & J Design,NA,NA,NA
Solus 24,Fin with rudder on skeg,Fractional Sloop,24.08 ft / 7.34 m,21.75 ft / 6.63 m,251.00 ft² / 23.32 m²,7.97 ft / 2.43 m,"3,638.00 lb / 1,650 kg","1,874.00 lb / 850 kg",3.94 ft / 1.20 m,FG,Iron,1971,1985,300,Solus Boats (DEN),Bjarne Marcussen,NA,NA,NA
Solus 29,Fin with rudder on skeg,Masthead Sloop,28.54 ft / 8.70 m,23.95 ft / 7.30 m,398.00 ft² / 36.98 m²,9.68 ft / 2.95 m,"6,614.00 lb / 3,000 kg","3,086.00 lb / 1,400 kg",5.25 ft / 1.60 m,FG,NA,1978,NA,50,Solus Boats (DEN),Bjarne Marcussen,NA,NA,NA
Solus Alta,Fin w/spade rudder,Fractional Sloop,30.18 ft / 9.20 m,24.77 ft / 7.55 m,382.00 ft² / 35.49 m²,7.87 ft / 2.40 m,"4,850.00 lb / 2,200 kg","2,645.00 lb / 1,200 kg",5.08 ft / 1.55 m,FG,NA,1981,1984,30,A/S Frederikssund skibsværft (DEN),Bjarne Marcussen,NA,NA,NA
Firebird,Catamaran Twin Dbrd.,Frac. Sloop (Rotating Spar),26.25 ft / 8.00 m,25.00 ft / 7.62 m,382.00 ft² / 35.49 m²,17.25 ft / 5.26 m,"1,000.00 lb / 454 kg",NA,4.58 ft / 1.40 m,FG,NA,1996,NA,16,Modular Moldings (UK),Martyn Smith,0.83 ft / 0.25 m,NA,NA
Sagitta 20,Fin with rudder on skeg,Masthead Sloop,20.14 ft / 6.14 m,17.49 ft / 5.33 m,225.00 ft² / 20.90 m²,7.68 ft / 2.34 m,"3,638.00 lb / 1,650 kg","1,746.00 lb / 792 kg",2.84 ft / 0.87 m,FG,Iron,1968,NA,NA,Royal System Yacht Yard (DEN),Sparkman & Stephens,NA,NA,NA
Sagitta 26,Fin with rudder on skeg,Masthead Sloop,25.50 ft / 7.77 m,19.67 ft / 6.00 m,306.00 ft² / 28.43 m²,8.25 ft / 2.51 m,"4,740.00 lb / 2,150 kg","2,299.00 lb / 1,043 kg",4.50 ft / 1.37 m,FG,NA,1967,NA,NA,Royal System Yacht Yard (DEN),Sparkman & Stephens,NA,NA,NA
Sagitta 35,Fin with rudder on skeg,Masthead Sloop,34.50 ft / 10.52 m,25.50 ft / 7.77 m,516.00 ft² / 47.94 m²,10.00 ft / 3.05 m,"10,210.00 lb / 4,631 kg","5,710.00 lb / 2,590 kg",6.00 ft / 1.83 m,FG,NA,1969,1976,NA,Sagitta/Bianca (DEN),Sparkman & Stephens,NA,NA,NA
Saga 40,Long keel w/trans. hung rudder,Cutter,40.00 ft / 12.19 m,32.00 ft / 9.75 m,695.00 ft² / 64.57 m²,12.08 ft / 3.68 m,"30,464.00 lb / 13,818 kg","11,220.00 lb / 5,089 kg",6.50 ft / 1.98 m,GRP,NA,1977,NA,35,K.R.Skentelbery & Sons Ltd.(UK),Alan Pape,NA,NA,NA
Allegro 30,Long Keel,Masthead Sloop,30.02 ft / 9.15 m,27.39 ft / 8.35 m,NA,10.33 ft / 3.15 m,"8,708.00 lb / 3,950 kg","4,409.00 lb / 2,000 kg",4.66 ft / 1.42 m,FG,Iron,1966,NA,NA,Allegro Båt AB (SWE),Lars Olof Norlin,NA,NA,NA
Alo 33,Fin with rudder on skeg,Masthead Sloop,32.74 ft / 9.98 m,24.61 ft / 7.50 m,459.00 ft² / 42.64 m²,10.20 ft / 3.11 m,"10,803.00 lb / 4,900 kg","4,189.00 lb / 1,900 kg",5.58 ft / 1.70 m,FG,Iron,1975,1980,45,Alo Yachts (NOR),Jan Bjerke/Alf Ortang,NA,NA,NA
Crown 39,Fin w/bulb & spade rudder,Fractional Sloop,39.00 ft / 11.89 m,30.17 ft / 9.20 m,742.00 ft² / 68.93 m²,11.00 ft / 3.35 m,"14,320.00 lb / 6,495 kg","6,060.00 lb / 2,749 kg",6.67 ft / 2.03 m,FG,NA,1984,NA,NA,Crown Marine (FIN),Häkan Södergren,NA,NA,NA
Crown 31,Fin w/spade rudder,Fractional Sloop,31.00 ft / 9.45 m,25.60 ft / 7.80 m,510.00 ft² / 47.38 m²,9.84 ft / 3.00 m,"9,479.00 lb / 4,300 kg","2,204.00 lb / 1,000 kg",5.25 ft / 1.60 m,FG,NA,1983,1987,NA,Crown Marine (FIN),Häkan Södergren,NA,NA,NA
Inferno 31,Fin w/spade rudder,Fractional Sloop,31.00 ft / 9.45 m,25.60 ft / 7.80 m,512.00 ft² / 47.57 m²,9.84 ft / 3.00 m,"9,479.00 lb / 4,300 kg","2,204.00 lb / 1,000 kg",5.25 ft / 1.60 m,FG,NA,1983,NA,NA,Finngulf (FIN),Häkan Södergren,NA,NA,NA
Inferno 29,Fin w/spade rudder,Fractional Sloop,28.87 ft / 8.80 m,23.95 ft / 7.30 m,410.00 ft² / 38.09 m²,8.20 ft / 2.50 m,"5,732.00 lb / 2,600 kg","2,094.00 lb / 950 kg",4.92 ft / 1.50 m,FG,Lead,1982,NA,NA,NaBoats (FIN),Håkan Södergren,NA,NA,NA
Inferno 33,Fin w/spade rudder,Fractional Sloop,32.97 ft / 10.05 m,26.90 ft / 8.20 m,592.00 ft² / 55.00 m²,10.10 ft / 3.08 m,"9,920.00 lb / 4,500 kg","4,409.00 lb / 2,000 kg",5.74 ft / 1.75 m,FG,NA,1984,1990,25,NaBoats/Tabasco Marine (FIN),Häkan Södergren,NA,NA,NA
Inferno 26,Fin w/spade rudder,Fractional Sloop,25.92 ft / 7.90 m,22.31 ft / 6.80 m,347.00 ft² / 32.24 m²,8.14 ft / 2.48 m,"4,078.00 lb / 1,850 kg","1,653.00 lb / 750 kg",4.92 ft / 1.50 m,FG,Iron,1984,NA,NA,NA,Håkan Södergren,NA,NA,NA
Inferno 28,Fin w/spade rudder,Fractional Sloop,27.72 ft / 8.45 m,22.47 ft / 6.85 m,428.00 ft² / 39.76 m²,9.55 ft / 2.91 m,"4,078.00 lb / 1,850 kg","1,653.00 lb / 750 kg",4.92 ft / 1.50 m,FG,Lead,1986,NA,NA,NA,Håkan Södergren,NA,NA,NA
Edel 4,Fin Keel,Masthead Sloop,23.46 ft / 7.15 m,19.36 ft / 5.90 m,303.00 ft² / 28.15 m²,8.20 ft / 2.50 m,"2,755.00 lb / 1,250 kg",992.00 lb / 450 kg,4.26 ft / 1.30 m,FG,NA,1971,1979,800,Edel (FRA),Maurice Edel,NA,NA,NA
Edel 2,Swing Keel,Masthead Sloop,18.04 ft / 5.50 m,16.08 ft / 4.90 m,200.00 ft² / 18.58 m²,6.89 ft / 2.10 m,"1,279.00 lb / 580 kg",397.00 lb / 180 kg,3.28 ft / 1.00 m,FG,NA,1966,1982,2100,Edel (FRA),Maurice Edel,1.64 ft / 0.50 m,NA,NA
Victoria 34,Fin with rudder on skeg,Cutter,34.25 ft / 10.44 m,28.33 ft / 8.63 m,568.00 ft² / 52.77 m²,10.62 ft / 3.24 m,"12,709.00 lb / 5,765 kg","5,525.00 lb / 2,506 kg",4.83 ft / 1.47 m,FG,NA,1985,2007,NA,Victoria Yachts/Northshore Yachts (UK),C.W. Paine,NA,NA,NA
Beachcomber 25,Keel/Cbrd.,Cat Ketch (unstayed),25.33 ft / 7.72 m,23.25 ft / 7.09 m,275.00 ft² / 25.55 m²,8.00 ft / 2.44 m,"5,300.00 lb / 2,404 kg","1,400.00 lb / 635 kg",5.58 ft / 1.70 m,FG,NA,1979,NA,70,Marine Innovators (USA),Walter Scott,1.25 ft / 0.38 m,NA,NA
Helms 32,Fin w/spade rudder,Masthead Sloop,32.00 ft / 9.75 m,25.50 ft / 7.77 m,452.00 ft² / 41.99 m²,10.50 ft / 3.20 m,"9,500.00 lb / 4,309 kg","3,800.00 lb / 1,724 kg",4.83 ft / 1.47 m,FG,NA,1983,1985,10,Jack A. Helms Co. (USA),Stuart Windley,NA,NA,NA
Willing 31,Fin with rudder on skeg,Masthead Sloop,31.00 ft / 9.45 m,25.17 ft / 7.67 m,325.00 ft² / 30.19 m²,10.25 ft / 3.12 m,"7,000.00 lb / 3,175 kg","2,600.00 lb / 1,179 kg",5.25 ft / 1.60 m,FG,NA,1976,1984,400,Scandia Plast Boatworks (NOR),Jan H. Linge,NA,NA,NA
Captiva 35,Fin with rudder on skeg,Masthead Sloop,34.75 ft / 10.59 m,29.58 ft / 9.02 m,550.00 ft² / 51.10 m²,11.67 ft / 3.56 m,"15,100.00 lb / 6,849 kg","4,300.00 lb / 1,950 kg",5.17 ft / 1.58 m,FG,NA,1980,NA,NA,Captiva Yachts (USA),Walter Scott,NA,NA,NA
Geraghty 41,Fin w/spade rudder,Masthead Sloop,41.00 ft / 12.50 m,35.00 ft / 10.67 m,776.00 ft² / 72.09 m²,12.67 ft / 3.86 m,"15,300.00 lb / 6,940 kg","8,000.00 lb / 3,629 kg",7.00 ft / 2.13 m,FG,Lead,1982,NA,NA,Garaghty Marine (USA),Nelson/Marek,NA,NA,NA
Jouët 600,Fin w/transom hung rudder,Fractional Sloop,19.68 ft / 6.00 m,16.73 ft / 5.10 m,235.00 ft² / 21.83 m²,7.78 ft / 2.37 m,"2,315.00 lb / 1,050 kg",661.00 lb / 300 kg,3.28 ft / 1.00 m,FG,NA,1979,1983,82,Yachting France (FRA),Berret,NA,NA,NA
Jouët 680,Fin w/transom hung rudder,Fractional Sloop,22.31 ft / 6.80 m,19.82 ft / 6.04 m,269.50 ft² / 25.04 m²,7.94 ft / 2.42 m,"3,086.00 lb / 1,400 kg","1,268.00 lb / 575 kg",3.60 ft / 1.10 m,FG,Iron,1978,1984,420,Yachting France (FRA),Berret,NA,NA,NA
Jouët 24,Fin w/transom hung rudder,Masthead Sloop,23.62 ft / 7.20 m,21.00 ft / 6.40 m,338.00 ft² / 31.40 m²,8.86 ft / 2.70 m,"3,858.00 lb / 1,750 kg","1,808.00 lb / 820 kg",4.92 ft / 1.50 m,FG,NA,1977,1982,180,Yachting France (FRA),Daniel Tortarolo,NA,NA,NA
Amphora (Wauquiez),Fin with rudder on skeg,Masthead Ketch,37.14 ft / 11.32 m,33.77 ft / 10.29 m,820.00 ft² / 76.18 m²,12.80 ft / 3.90 m,"17,637.00 lb / 8,000 kg","7,385.00 lb / 3,350 kg",6.00 ft / 1.83 m,FG,NA,1976,1981,138,Henri Wauquiez (FRA),Holman & Pye,NA,NA,NA
Etap 22,Lifting Keel,Fractional Sloop,21.65 ft / 6.60 m,18.70 ft / 5.70 m,215.00 ft² / 19.97 m²,7.87 ft / 2.40 m,"2,756.00 lb / 1,250 kg","1,213.00 lb / 550 kg",4.10 ft / 1.25 m,FG,NA,1974,1984,1830,Etap Yachting (BEL),E. G. van de Stadt,NA,NA,NA
Etap 32i,Fin w/spade rudder,Fractional Sloop,30.67 ft / 9.35 m,26.25 ft / 8.00 m,588.00 ft² / 54.63 m²,11.22 ft / 3.42 m,"9,763.00 lb / 4,428 kg","2,866.00 lb / 1,300 kg",4.60 ft / 1.40 m,FG,NA,1992,2000,150,Etap Yachting (BEL),Harlé-Mortain-Mavrikios,NA,NA,NA
Etap 26i,Fin w/spade rudder,Fractional Sloop,25.75 ft / 7.85 m,23.46 ft / 7.15 m,277.00 ft² / 25.73 m²,9.12 ft / 2.78 m,"5,071.00 lb / 2,300 kg","1,433.00 lb / 650 kg",3.77 ft / 1.15 m,FG,Iron,1994,2006,NA,Etap Yachting (BEL),Mortain-Mavrikios,NA,NA,NA
Mamba 29,Fin w/spade rudder,Fractional Sloop,28.54 ft / 8.70 m,23.29 ft / 7.10 m,463.00 ft² / 43.01 m²,9.61 ft / 2.93 m,"7,055.00 lb / 3,200 kg","3,086.00 lb / 1,400 kg",5.25 ft / 1.60 m,FG,NA,1980,1989,200,BK Marin/MambaBoats (SWE),Jan & Harry Becker,NA,NA,NA
Mamba 33,Fin w/spade rudder,Fractional Sloop,32.32 ft / 9.85 m,27.23 ft / 8.30 m,517.00 ft² / 48.03 m²,10.73 ft / 3.27 m,"9,700.00 lb / 4,400 kg","4,078.00 lb / 1,850 kg",5.58 ft / 1.70 m,FG,Lead,1985,1991,NA,Mamba Boat AB (SWE),Bengt Karlsson,NA,NA,NA
Mamba 36,Fin w/spade rudder,Fractional Sloop,36.25 ft / 11.05 m,30.51 ft / 9.30 m,648.00 ft² / 60.20 m²,10.56 ft / 3.22 m,"12,346.00 lb / 5,600 kg","4,960.00 lb / 2,250 kg",5.84 ft / 1.78 m,FG,Lead,1982,NA,NA,Mamba Boat AB (SWE),Bernt Andersson,NA,NA,NA
Compis 28,Fin w/transom hung rudder,Masthead Sloop,28.08 ft / 8.56 m,23.29 ft / 7.10 m,344.00 ft² / 31.96 m²,9.32 ft / 2.84 m,"6,834.00 lb / 3,100 kg","2,976.00 lb / 1,350 kg",4.95 ft / 1.51 m,FG,Iron,1968,1983,600,Compisbåtar/Scanmar AB (SWE),Bernt Andersson,NA,NA,NA
Compis 36,Fin with rudder on skeg,Fractional Sloop,36.25 ft / 11.05 m,31.17 ft / 9.50 m,584.00 ft² / 54.26 m²,10.56 ft / 3.22 m,"12,346.00 lb / 5,600 kg","5,401.00 lb / 2,450 kg",5.84 ft / 1.78 m,FG,Lead,1981,1983,120,Comfortbåtar AB (SWE),Bernt Andersson,NA,NA,NA
Aloa 23,Fin with rudder on skeg,Masthead Sloop,22.96 ft / 7.00 m,17.88 ft / 5.45 m,178.00 ft² / 16.54 m²,8.04 ft / 2.45 m,"2,205.00 lb / 1,000 kg",882.00 lb / 400 kg,3.61 ft / 1.10 m,FG,NA,1968,1979,300,Aloa Marine (FRA),J.M. L'Hermenier,NA,NA,NA
Golif (Jouët),Fin w/transom hung rudder,Fractional Sloop,21.32 ft / 6.50 m,16.42 ft / 5.00 m,232.00 ft² / 21.55 m²,7.41 ft / 2.26 m,"2,866.00 lb / 1,300 kg","1,058.00 lb / 480 kg",3.67 ft / 1.12 m,FG,Iron,1961,1967,997,Jouët (FRA),P. Jouët & Cie,NA,NA,NA
G&S 27,Fin w/transom hung rudder,Masthead Sloop,27.00 ft / 8.23 m,22.50 ft / 6.86 m,361.00 ft² / 33.54 m²,9.00 ft / 2.74 m,"5,100.00 lb / 2,313 kg","1,975.00 lb / 896 kg",5.00 ft / 1.52 m,FG,NA,1986,NA,NA,NA,Graham & Schlageter,NA,NA,NA
Mariah 30,Fin w/spade rudder,Masthead Sloop,30.00 ft / 9.14 m,25.83 ft / 7.87 m,567.00 ft² / 52.68 m²,10.42 ft / 3.18 m,"7,000.00 lb / 3,175 kg",NA,5.92 ft / 1.80 m,FG,Lead,1991,NA,NA,NA,Alan Andrews,NA,NA,NA
Aloa 21,Fin Keel,Masthead Sloop,20.67 ft / 6.30 m,17.88 ft / 5.45 m,187.00 ft² / 17.37 m²,8.04 ft / 2.45 m,"1,323.00 lb / 600 kg",661.00 lb / 300 kg,3.28 ft / 1.00 m,FG,NA,1969,1979,400,Aloa Marine (FRA)/SEB Marine,J.M. L´Hermenier,NA,NA,NA
Calife 23,Fin w/transom hung rudder,Masthead Sloop,22.97 ft / 7.00 m,19.03 ft / 5.80 m,283.00 ft² / 26.29 m²,8.20 ft / 2.50 m,"3,527.00 lb / 1,600 kg","1,213.00 lb / 550 kg",3.25 ft / 0.99 m,FG,Iron,1969,1976,350,Yachting France,Philippe H. Harlé,NA,NA,NA
Elan 333,Fin w/bulb & spade rudder,Fractional Sloop,32.78 ft / 9.99 m,28.71 ft / 8.75 m,551.00 ft² / 51.19 m²,11.35 ft / 3.46 m,"8,818.00 lb / 4,000 kg","3,351.00 lb / 1,520 kg",6.23 ft / 1.90 m,FG,NA,1999,2005,NA,Elan Marine,Robert Humphreys,NA,NA,NA
Elan 31 (Humphreys),Fin w/bulb & spade rudder,Fractional Sloop,30.18 ft / 9.20 m,26.93 ft / 8.21 m,586.00 ft² / 54.44 m²,10.50 ft / 3.20 m,"8,377.00 lb / 3,800 kg","2,866.00 lb / 1,300 kg",6.07 ft / 1.85 m,FG,Iron,2002,NA,NA,Elan Marine (SVN),Rob Humphreys,NA,NA,NA
Elan 700,Keel/Cbrd.,Masthead Sloop,23.50 ft / 7.16 m,20.00 ft / 6.10 m,290.00 ft² / 26.94 m²,8.25 ft / 2.51 m,"2,700.00 lb / 1,225 kg",NA,5.33 ft / 1.62 m,FG,NA,1982,NA,NA,Midship Boat Services Ltd. (UK),John Sharp,1.58 ft / 0.48 m,NA,NA
Elvstrom 1/4 Ton,Fin with rudder on skeg,Masthead Sloop,27.00 ft / 8.23 m,20.00 ft / 6.10 m,273.00 ft² / 25.36 m²,8.70 ft / 2.65 m,"3,740.00 lb / 1,696 kg",NA,4.89 ft / 1.49 m,FG,NA,1975,NA,NA,Sjaelland Rund (DEN),Elvstrøm & Kjærulff,NA,NA,NA
Bes 1/2 Ton,Fin with rudder on skeg,Fractional Sloop,31.50 ft / 9.60 m,24.00 ft / 7.32 m,349.00 ft² / 32.42 m²,10.30 ft / 3.14 m,"6,800.00 lb / 3,084 kg","3,130.00 lb / 1,420 kg",5.67 ft / 1.73 m,FG,NA,1972,NA,NA,Chantier Gouteron (FRA),Paul Elvstrøm,NA,NA,NA
Elvstrom 6.5,Fin w/transom hung rudder,Fractional Sloop,21.32 ft / 6.50 m,17.88 ft / 5.45 m,215.00 ft² / 19.97 m²,7.71 ft / 2.35 m,"2,515.00 lb / 1,141 kg","1,246.00 lb / 565 kg",4.42 ft / 1.35 m,FG,NA,1974,1978,300,Yachting France/Jean Morin,Elvstrøm & Kjærulff,NA,NA,NA
Elvstrom 32,Fin with rudder on skeg,Masthead Sloop,31.37 ft / 9.56 m,23.50 ft / 7.16 m,345.00 ft² / 32.05 m²,10.27 ft / 3.13 m,"7,000.00 lb / 3,175 kg","3,086.00 lb / 1,400 kg",5.58 ft / 1.70 m,FG,NA,1973,NA,NA,NA,Elvstrøm & Kjærulff,NA,NA,NA
Compis 345,Fin with rudder on skeg,Masthead Sloop,34.45 ft / 10.50 m,28.00 ft / 8.53 m,484.00 ft² / 44.97 m²,10.83 ft / 3.30 m,"9,921.00 lb / 4,500 kg","3,500.00 lb / 1,588 kg",5.91 ft / 1.80 m,FG,Lead,1987,1994,11,Compisbåtar (SWE),Bernt Andersson,NA,NA,NA
Clearwater 35,Centerboard (Trunk),Masthead Sloop,35.25 ft / 10.74 m,26.67 ft / 8.13 m,524.00 ft² / 48.68 m²,11.33 ft / 3.45 m,"10,000.00 lb / 4,536 kg","4,500.00 lb / 2,041 kg",5.92 ft / 1.80 m,FG,Lead,1988,NA,NA,Holby Marine (USA),Craig Walters,1.79 ft / 0.55 m,NA,NA
Oceanis 281 (Beneteau),Fin w/bulb & spade rudder,Masthead Sloop,28.50 ft / 8.69 m,24.50 ft / 7.47 m,335.00 ft² / 31.12 m²,9.42 ft / 2.87 m,"5,732.00 lb / 2,600 kg","1,676.00 lb / 760 kg",4.00 ft / 1.22 m,FG,NA,1995,NA,331,Beneteau,Groupe Finot,NA,NA,NA
